sgiDate,f10,f54,s10,s54,m10,m54,y10,y54,dtc
2022-02-19T00:00:00.000Z,93.7,108.6,83.1,86.9,110.4,114.8,116.5,122.4,50
2022-02-19T03:00:00.000Z,93.7,108.6,83.1,86.9,110.4,114.8,116.2,122.4,50
2022-02-19T06:00:00.000Z,93.7,108.6,83.1,86.9,110.4,114.8,116.2,122.4,50
2022-02-19T09:00:00.000Z,93.7,108.6,83.1,86.9,110.4,114.8,116.2,122.4,85
2022-02-19T12:00:00.000Z,93.7,108.6,83.1,86.9,110.4,114.8,116.2,122.4,85
2022-02-19T15:00:00.000Z,95.7,108.1,82.8,86.7,110,114.5,114.4,122,50
2022-02-19T18:00:00.000Z,95.7,108.1,82.8,86.7,110,114.5,117,122.1,50
2022-02-19T21:00:00.000Z,95.7,108.1,82.8,86.7,110,114.5,117,122.1,50
2022-02-20T00:00:00.000Z,95.2,108.1,82.9,86.7,110.1,114.5,117.6,122.3,50
2022-02-20T03:00:00.000Z,95.2,108.1,82.9,86.7,110.1,114.5,117.5,122.3,50
2022-02-20T06:00:00.000Z,95.2,108.1,82.9,86.7,110.1,114.5,117.5,122.3,50
2022-02-20T09:00:00.000Z,95.2,108.1,82.9,86.7,110.1,114.5,117.5,122.3,146
2022-02-20T12:00:00.000Z,95.2,108.1,82.9,86.7,110.1,114.5,117.5,122.3,85
2022-02-20T15:00:00.000Z,93.9,107.6,83.3,86.5,111.1,114.2,117,122.2,50
2022-02-20T18:00:00.000Z,93.9,107.6,83.3,86.5,111.1,114.2,117,122.2,50
2022-02-20T21:00:00.000Z,93.9,107.6,83.3,86.5,111.1,114.2,117,122.2,24
2022-02-21T00:00:00.000Z,94,107.6,83.3,86.5,111.1,114.2,116.9,122.1,50
2022-02-21T03:00:00.000Z,94,107.6,83.3,86.5,111.1,114.2,116.2,122.1,85
2022-02-21T06:00:00.000Z,94,107.6,83.3,86.5,111.1,114.2,116.2,122.1,50
2022-02-21T09:00:00.000Z,94,107.6,83.3,86.5,111.1,114.2,116.2,122.1,24
2022-02-21T12:00:00.000Z,94,107.6,83.3,86.5,111.1,114.2,116.2,122.1,24
2022-02-21T15:00:00.000Z,97.7,107.4,83.6,86.5,109.9,114,112.5,121.8,85
2022-02-21T18:00:00.000Z,97.7,107.4,83.6,86.5,109.9,114,112.5,121.8,115
2022-02-21T21:00:00.000Z,97.4,107.4,83.6,86.5,109.9,114,112.8,121.9,85
2022-02-22T00:00:00.000Z,97.4,107.4,83.6,86.5,109.9,114,111.3,121.9,85
2022-02-22T03:00:00.000Z,97.4,107.4,83.6,86.5,109.9,114,111.3,121.9,50
2022-02-22T06:00:00.000Z,97.4,107.4,83.6,86.5,109.9,114,111.3,121.9,85
2022-02-22T09:00:00.000Z,97.4,107.4,83.6,86.5,109.9,114,111.3,121.9,115
2022-02-22T12:00:00.000Z,95.4,107.3,83.9,86.5,110.4,114,103.9,121.6,146
2022-02-22T15:00:00.000Z,95.4,107.3,83.8,86.5,111,114,114.5,121.8,85
2022-02-22T18:00:00.000Z,95.4,107.3,83.8,86.5,111,114,114.5,121.8,50
2022-02-22T21:00:00.000Z,95.4,107.3,84,86.5,111.3,114,114.5,121.8,24
2022-02-23T00:00:00.000Z,95.4,107.3,84,86.5,111.3,114,114.6,121.8,50
2022-02-23T03:00:00.000Z,95.4,107.3,84,86.5,111.3,114,114.6,121.8,50
2022-02-23T06:00:00.000Z,95.4,107.3,84,86.5,111.3,114,114.6,121.8,114
2022-02-23T09:00:00.000Z,95.4,107.3,84,86.5,111.3,114,114.6,121.8,0
2022-02-23T12:00:00.000Z,95.2,107.2,83.6,86.5,113.4,114.1,115.2,121.9,50
2022-02-23T15:00:00.000Z,95.2,107.2,83.6,86.5,113.4,114.1,115.2,121.9,50
2022-02-23T18:00:00.000Z,95.2,107.2,83.6,86.5,113.4,114.1,115.2,121.9,50
2022-02-23T21:00:00.000Z,95.2,107.2,83.6,86.5,113.4,114.1,115.2,121.9,50
2022-02-24T00:00:00.000Z,93,107.1,83.7,86.5,110.8,114.1,115.2,121.9,50
2022-02-24T03:00:00.000Z,93,107.1,83.7,86.5,110.8,114.1,115.2,121.9,24
2022-02-24T06:00:00.000Z,93,107.1,83.7,86.5,110.8,114.1,115.2,121.9,50
2022-02-24T09:00:00.000Z,93,107.1,83.7,86.5,110.8,114.1,115.2,121.9,85
2022-02-24T12:00:00.000Z,93,107.1,83.7,86.5,110.8,114.1,115.2,121.9,85
2022-02-24T15:00:00.000Z,93,107.1,83.7,86.5,110.8,114.1,115.2,121.9,50
2022-02-24T18:00:00.000Z,93,107.1,83.7,86.5,110.8,114.1,115.2,121.9,24
2022-02-24T21:00:00.000Z,93,107.1,83.7,86.5,110.8,114.1,115.2,121.9,0
2022-02-25T00:00:00.000Z,93.9,107.2,82.6,86.7,107.1,114.3,115.2,121.9,24
2022-02-25T03:00:00.000Z,93.9,107.2,82.6,86.7,107.1,114.3,115.2,121.9,24
2022-02-25T06:00:00.000Z,93.9,107.2,82.6,86.7,107.1,114.3,115.2,121.9,50
2022-02-25T09:00:00.000Z,93.9,107.2,82.6,86.7,107.1,114.3,115.2,121.9,50
2022-02-25T12:00:00.000Z,93.9,107.2,82.6,86.7,107.1,114.3,115.2,121.9,50
2022-02-25T15:00:00.000Z,93.9,107.2,82.6,86.7,107.1,114.3,115.2,121.9,85
2022-02-25T18:00:00.000Z,93.9,107.2,82.6,86.7,107.1,114.3,115.2,121.9,0
2022-02-25T21:00:00.000Z,93.9,107.2,82.6,86.7,107.1,114.3,115.2,121.9,70
2022-02-26T00:00:00.000Z,94.9,107,81.8,86.8,106.9,114.4,115.2,121.9,70
2022-02-26T03:00:00.000Z,94.9,107,81.8,86.8,106.9,114.4,115.2,121.9,70
2022-02-26T06:00:00.000Z,94.9,107,81.8,86.8,106.9,114.4,115.2,121.9,70
2022-02-26T09:00:00.000Z,94.9,107,81.8,86.8,106.9,114.4,115.2,121.9,44
2022-02-26T12:00:00.000Z,94.9,107,81.8,86.8,106.9,114.4,115.2,121.9,50
2022-02-26T15:00:00.000Z,94.9,107,81.8,86.8,106.9,114.4,115.2,121.9,50
2022-02-26T18:00:00.000Z,94.9,107,81.8,86.8,106.9,114.4,115.2,121.9,50
2022-02-26T21:00:00.000Z,94.9,107,81.8,86.8,106.9,114.4,115.2,121.9,55
2022-02-27T00:00:00.000Z,98.8,109.4,86.9,86.4,105.7,113.9,115.2,121.9,55
2022-02-27T03:00:00.000Z,98.8,109.4,86.9,86.4,105.7,113.9,115.2,121.9,60
2022-02-27T06:00:00.000Z,98.8,109.4,86.9,86.4,105.7,113.9,115.2,121.9,60
2022-02-27T09:00:00.000Z,98.8,109.4,86.9,86.4,105.7,113.9,115.2,121.9,60
